cgpa,python,java,cpp,sql,machine_learning,deep_learning,data_visualization,web_development,cloud,projects_count,internship,certifications_count,career_role
8.41,1,1,1,0,1,1,0,0,1,7,0,4,Machine Learning Engineer
8.56,1,0,1,1,1,0,1,0,1,2,0,2,Data Scientist
7.86,1,1,0,1,1,0,1,0,0,4,0,3,Data Scientist
5.66,0,0,1,0,0,1,1,1,0,3,0,3,Frontend Developer
7.63,0,0,0,0,1,1,1,0,0,5,0,3,Business Analyst
9.04,1,1,1,0,1,1,1,0,1,3,1,1,Machine Learning Engineer
8.36,1,0,1,1,1,0,0,0,1,4,1,4,AI Engineer
7.11,1,0,0,1,1,0,1,0,1,2,0,4,Business Analyst
8.92,0,1,0,1,0,0,0,1,0,4,0,3,Backend Developer
9.01,1,0,1,1,1,1,1,1,1,6,0,4,Machine Learning Engineer
8.31,1,1,0,1,1,1,1,0,0,3,0,2,Machine Learning Engineer
8.04,1,1,1,1,1,0,0,1,0,5,1,3,Backend Developer
7.66,0,0,0,1,1,0,1,0,0,4,1,3,Business Analyst
7.42,0,0,0,0,0,0,0,1,1,4,0,2,Frontend Developer
7.2,1,1,1,0,0,0,1,0,1,5,0,1,Software Developer
9.08,1,0,1,0,1,1,1,0,1,1,1,4,Machine Learning Engineer
7.86,1,0,0,1,0,0,0,1,1,2,0,1,Software Developer
8.1,1,0,0,1,1,0,1,0,0,2,1,2,Data Analyst
9.74,1,0,0,1,1,1,0,1,1,8,1,2,Data Scientist
9.53,1,0,0,1,1,1,1,0,1,3,1,4,Machine Learning Engineer
6.72,0,0,0,1,0,0,0,1,0,3,1,0,Frontend Developer
9.24,0,1,1,0,1,0,1,1,0,3,0,2,Software Developer
7.76,0,1,1,1,1,0,0,1,1,1,0,1,Software Developer
6.77,1,0,0,0,0,0,0,1,1,3,0,1,Web Developer
7.82,1,1,1,1,0,0,0,1,0,4,0,1,Software Developer
8.31,1,1,1,0,1,0,0,1,1,4,1,5,Software Developer
7.29,1,0,0,1,0,0,0,1,0,0,1,2,Web Developer
7.75,1,0,1,1,1,1,1,0,0,5,1,1,Data Scientist
6.07,1,0,0,1,1,0,1,0,1,2,0,3,Data Analyst
6.7,1,0,0,1,0,0,0,0,1,1,0,6,Business Analyst
8.61,1,0,1,0,1,1,1,0,1,3,1,3,Machine Learning Engineer
8.3,0,0,0,1,1,0,1,1,0,2,0,3,Web Developer
8.28,0,1,1,1,1,1,1,0,0,5,0,5,Data Analyst
8.55,1,0,0,1,1,1,0,1,0,5,1,2,AI Engineer
8.71,1,0,0,1,1,1,0,0,0,4,0,2,AI Engineer
6.65,0,0,0,0,0,0,0,1,0,1,0,5,Frontend Developer
7.85,0,0,0,0,0,0,0,1,0,1,1,2,Frontend Developer
7.89,1,1,1,1,0,0,0,1,0,6,1,3,Backend Developer
7.6,1,0,0,0,1,1,1,0,0,4,0,2,Data Scientist
6.09,0,1,0,1,0,0,0,1,0,6,0,6,Frontend Developer
6.41,0,1,0,1,0,0,1,1,0,2,0,4,Web Developer
6.26,0,1,0,1,0,0,0,1,1,7,0,2,Frontend Developer
7.34,1,0,0,1,1,0,1,1,1,2,0,1,Data Analyst
9.26,1,1,1,0,1,1,1,1,1,5,1,4,Machine Learning Engineer
8.3,1,0,1,1,1,1,1,1,0,2,1,4,Data Scientist
7.58,1,1,1,1,0,0,1,0,1,5,1,5,Cloud Engineer
7.37,1,0,0,1,1,1,0,0,1,3,1,4,AI Engineer
7.74,1,0,0,1,0,0,1,0,1,4,1,6,Cloud Engineer
7.98,0,0,0,1,0,0,1,0,0,4,0,6,Business Analyst
8.87,0,1,1,0,0,0,1,1,1,2,1,1,Backend Developer
7.53,0,1,0,0,0,0,1,1,0,0,1,2,Business Analyst
8.69,1,0,0,1,1,1,1,1,1,6,1,4,AI Engineer
6.78,0,1,0,1,0,0,1,0,1,1,0,4,Data Analyst
6.46,1,1,0,1,0,0,0,1,1,3,1,3,Web Developer
7.63,1,0,0,0,1,1,1,0,1,5,1,6,AI Engineer
9.29,1,0,1,1,1,1,1,1,1,4,1,3,AI Engineer
9.68,1,1,0,0,1,1,1,0,0,3,0,4,AI Engineer
8.41,1,0,1,1,1,1,0,0,1,4,1,2,Machine Learning Engineer
7.51,0,0,0,1,0,0,0,1,0,1,1,1,Frontend Developer
9.78,1,0,0,1,0,1,1,0,0,4,0,0,Data Analyst
8.36,0,1,1,1,0,0,0,1,1,3,1,0,Backend Developer
7.37,1,0,0,1,1,1,1,1,1,7,1,4,Machine Learning Engineer
8.14,1,0,0,1,1,1,1,0,0,5,0,6,Machine Learning Engineer
8.26,0,0,0,1,0,0,0,1,0,5,0,1,Web Developer
7.16,1,1,0,1,1,0,0,0,0,1,1,4,Data Analyst
7.34,0,0,0,0,0,0,1,1,1,2,0,2,Web Developer
8.34,1,1,0,1,0,0,0,0,1,6,0,6,Cloud Engineer
7.31,0,0,0,1,1,1,1,0,0,4,1,3,Data Analyst
9.75,1,0,1,1,1,1,0,0,1,6,1,2,Machine Learning Engineer
7.19,0,0,0,1,0,0,0,1,1,5,1,5,Web Developer
9.2,1,1,0,0,0,0,1,0,1,5,1,4,Cloud Engineer
7.97,0,1,1,1,1,0,1,1,0,7,1,6,Software Developer
7.88,1,1,0,0,1,1,1,0,1,4,1,4,AI Engineer
6.4,0,1,1,0,0,0,0,1,1,1,1,0,Web Developer
6.88,1,1,1,1,0,0,0,0,1,5,0,0,Software Developer
5.85,0,0,0,1,0,0,0,1,1,3,1,1,Web Developer
7.31,1,0,0,1,0,0,1,1,1,4,1,2,Data Analyst
7.05,1,0,0,1,1,0,1,1,0,1,0,4,Data Analyst
6.18,1,1,0,1,0,0,1,0,1,1,0,4,Data Analyst
8.39,0,1,1,1,0,0,0,1,1,2,1,3,Software Developer
7.18,1,0,0,1,0,0,0,1,0,5,0,2,Web Developer
7.35,1,0,0,0,1,0,0,1,0,3,0,3,Machine Learning Engineer
7.96,1,0,0,1,0,0,1,0,1,2,1,3,Cloud Engineer
8.09,0,1,1,1,1,0,0,1,1,4,0,0,Software Developer
6.97,1,0,1,1,0,1,1,0,1,7,1,2,AI Engineer
8.84,1,0,0,1,0,0,1,1,1,3,1,1,Backend Developer
8.29,1,1,1,1,1,1,1,1,1,4,1,4,Machine Learning Engineer
7.64,1,1,1,1,0,0,0,0,0,1,0,2,Software Developer
8.21,1,1,1,1,1,0,0,1,1,4,1,3,Software Developer
7.87,1,0,0,0,1,1,0,0,0,4,1,4,Data Scientist
7.74,1,0,0,1,1,0,1,1,0,3,0,3,Business Analyst
8.46,1,0,0,1,1,1,1,0,0,6,1,1,Data Scientist
7.62,1,0,1,1,0,1,1,0,1,7,0,3,Cloud Engineer
6.95,1,0,0,0,0,0,0,1,0,3,1,1,Frontend Developer
8.46,1,0,0,1,0,0,1,1,1,0,0,1,Frontend Developer
8.16,0,1,0,1,0,0,1,1,0,5,0,0,Software Developer
7.85,1,1,0,1,1,0,0,1,0,8,0,3,Frontend Developer
8.15,0,0,1,0,0,0,1,1,0,8,1,4,Frontend Developer
8.26,0,0,0,1,0,1,1,0,0,1,0,2,Business Analyst
8.58,1,0,0,1,0,0,1,0,1,1,1,1,Data Analyst
6.86,1,1,0,1,0,0,0,1,1,5,0,3,Backend Developer
8.1,1,1,1,1,1,0,0,1,1,3,0,4,Cloud Engineer
6.3,0,0,0,0,0,0,0,1,0,2,0,1,Frontend Developer
7.82,1,0,0,1,1,0,0,1,1,6,1,4,Cloud Engineer
7.39,1,0,1,1,0,0,1,0,0,2,0,3,Business Analyst
6.52,1,0,0,0,0,0,0,1,0,4,0,4,Frontend Developer
8.51,1,1,1,1,0,0,0,0,0,4,0,2,Backend Developer
8.36,1,1,1,1,0,1,0,1,1,7,0,1,Web Developer
6.53,0,1,1,0,1,0,0,1,0,3,0,2,Frontend Developer
6.7,1,1,1,1,0,0,1,1,1,4,1,5,Backend Developer
8.0,1,0,0,0,0,0,1,1,0,4,1,2,Business Analyst
7.39,1,1,1,1,0,0,1,1,0,5,0,2,Backend Developer
7.82,0,0,0,0,0,0,0,1,0,4,0,2,Frontend Developer
7.63,0,0,0,1,1,0,1,0,0,0,0,2,Data Analyst
8.27,1,1,0,1,1,0,1,0,1,2,1,4,Data Analyst
9.23,1,0,0,0,1,1,1,1,1,6,1,6,AI Engineer
9.79,1,0,1,1,1,0,1,1,0,4,1,4,Machine Learning Engineer
7.0,0,1,0,1,0,0,1,1,1,4,1,2,Web Developer
6.99,1,1,0,1,0,0,0,1,1,8,1,6,Cloud Engineer
8.05,1,0,0,0,0,1,0,1,1,2,1,2,Cloud Engineer
8.33,1,0,1,1,0,1,0,0,1,6,1,2,AI Engineer
7.86,0,0,0,1,0,1,1,1,0,1,1,1,Frontend Developer
8.5,0,1,0,0,0,0,0,1,0,4,1,3,Software Developer
6.93,1,0,0,1,0,1,1,1,0,3,1,1,Frontend Developer
8.78,1,0,1,1,1,1,1,0,1,4,1,4,AI Engineer
8.53,1,0,1,1,1,1,0,1,1,4,0,6,AI Engineer
8.94,1,0,0,1,1,1,1,0,0,2,1,2,Data Scientist
9.21,0,1,1,0,0,0,1,1,1,4,1,1,Backend Developer
8.76,1,1,1,0,1,1,0,0,0,5,1,3,AI Engineer
8.46,1,1,0,1,1,1,1,1,1,8,1,3,AI Engineer
7.54,1,1,1,0,0,1,0,1,0,5,0,2,Software Developer
7.72,1,0,1,1,1,0,1,1,1,5,1,0,Web Developer
7.37,0,0,1,0,0,0,0,1,0,2,1,3,Frontend Developer
7.8,1,1,0,1,1,0,0,0,0,3,1,3,Software Developer
7.76,1,1,1,0,1,1,0,0,0,8,1,2,Machine Learning Engineer
7.08,0,0,0,1,0,0,0,1,0,7,0,3,Frontend Developer
5.95,0,0,0,0,0,0,0,1,0,5,0,2,Frontend Developer
7.29,1,0,0,1,0,0,1,1,1,1,1,1,Web Developer
7.86,1,0,0,0,1,1,1,1,0,5,1,1,Data Scientist
7.52,1,0,1,0,0,0,0,0,1,3,1,5,Cloud Engineer
6.96,0,1,0,0,0,0,0,1,1,6,0,1,Web Developer
8.51,1,0,0,0,1,1,0,0,0,5,1,5,Machine Learning Engineer
7.45,0,0,0,1,0,0,1,0,0,8,1,4,Frontend Developer
9.22,1,1,0,0,1,1,1,0,1,8,0,3,Data Scientist
8.73,1,1,1,1,0,0,0,1,0,4,0,6,Backend Developer
6.77,1,1,1,1,0,0,0,1,0,2,1,1,Backend Developer
7.53,0,0,0,0,0,0,0,1,0,5,1,0,Web Developer
7.01,1,0,1,0,1,1,0,0,1,6,1,2,AI Engineer
6.98,1,1,1,0,0,0,1,1,0,5,0,3,Web Developer
9.19,1,1,0,0,0,0,0,0,1,5,1,6,Cloud Engineer
7.82,1,1,0,1,1,1,1,1,0,3,1,6,Data Scientist
9.21,1,1,0,1,1,1,1,0,0,2,1,4,Machine Learning Engineer
8.19,0,1,1,1,0,0,0,1,1,2,1,3,Cloud Engineer
8.17,0,1,1,1,0,1,0,1,0,1,0,2,Software Developer
8.81,1,0,1,1,1,1,1,0,1,4,1,4,Machine Learning Engineer
8.79,1,0,1,1,0,0,1,1,1,7,0,1,Backend Developer
8.94,1,1,0,0,0,0,1,1,0,5,1,3,Software Developer
8.21,1,0,1,1,1,1,1,0,1,4,1,5,Machine Learning Engineer
8.41,1,1,0,1,0,0,0,1,0,3,1,2,Backend Developer
8.13,1,0,0,1,1,1,1,0,1,1,1,4,Data Scientist
7.6,1,1,1,0,1,0,0,0,1,7,1,3,Machine Learning Engineer
6.77,1,0,0,0,0,0,1,1,1,3,1,4,Frontend Developer
6.43,0,1,0,0,0,0,0,1,0,3,0,0,Frontend Developer
8.72,1,0,1,1,1,1,0,0,1,5,1,1,AI Engineer
9.1,1,1,0,0,1,1,0,0,0,5,1,3,AI Engineer
5.41,0,1,0,0,0,0,1,1,1,1,0,2,Frontend Developer
6.99,1,0,0,1,1,1,1,1,1,4,0,2,Data Scientist
5.9,1,0,0,1,0,0,1,1,0,3,0,0,Web Developer
7.65,0,0,0,1,0,0,0,1,0,3,0,2,Frontend Developer
7.1,0,0,0,1,0,0,0,1,1,4,1,1,Frontend Developer
8.02,0,0,0,1,1,0,1,0,1,1,0,3,Data Analyst
7.2,1,0,0,1,1,0,0,1,1,7,1,3,Cloud Engineer
7.73,1,0,0,1,0,0,1,0,0,2,1,5,Business Analyst
7.8,0,1,0,1,0,0,0,1,0,1,0,0,Backend Developer
7.83,1,0,0,0,0,0,0,1,1,2,1,2,Cloud Engineer
7.97,1,0,1,0,0,0,1,0,1,7,1,3,Software Developer
7.93,1,1,0,1,1,0,1,0,1,6,0,5,Business Analyst
6.42,0,1,0,1,0,0,1,1,0,2,1,1,Frontend Developer
7.75,1,1,1,1,0,0,0,1,1,6,0,1,Backend Developer
8.05,0,1,1,1,0,0,1,1,1,4,1,6,Backend Developer
7.41,0,1,1,1,0,1,0,1,0,3,0,1,Backend Developer
7.87,1,0,0,0,1,1,0,1,1,5,0,3,AI Engineer
8.01,1,1,1,1,0,0,0,1,0,5,0,0,Web Developer
8.55,1,0,1,1,1,1,0,1,1,2,0,1,Machine Learning Engineer
8.09,1,0,1,1,1,0,1,0,0,6,1,3,Data Scientist
8.2,0,0,0,1,0,0,1,0,0,1,1,3,Business Analyst
9.87,1,0,1,0,1,1,1,0,0,2,1,4,AI Engineer
8.48,1,1,0,1,1,1,0,1,1,8,1,2,AI Engineer
7.25,0,1,0,0,0,0,0,1,1,2,1,3,Web Developer
8.68,0,0,1,1,0,0,0,1,0,3,1,4,Backend Developer
8.73,1,1,1,1,0,0,0,1,1,5,1,2,Backend Developer
6.73,0,0,0,0,0,0,0,1,1,7,0,3,Frontend Developer
8.25,1,1,1,1,1,1,1,0,0,2,1,6,Machine Learning Engineer
8.01,1,1,0,1,1,0,0,1,0,8,1,2,Backend Developer
8.37,1,0,0,1,1,1,1,1,1,5,1,4,Business Analyst
8.08,1,0,0,1,1,1,1,0,1,4,1,1,Data Scientist
6.75,0,0,0,1,1,1,1,0,1,6,1,5,Data Scientist
8.68,1,1,0,0,1,1,1,0,0,4,1,0,AI Engineer
8.5,1,0,0,1,1,1,1,0,1,3,1,1,AI Engineer
8.75,1,1,1,0,1,1,1,0,1,2,0,6,Machine Learning Engineer
8.12,1,0,0,1,1,0,1,0,1,6,1,0,Data Analyst
8.65,1,1,1,1,0,0,1,1,0,5,0,6,Backend Developer
8.18,1,0,0,1,0,0,1,0,1,3,0,3,Data Analyst
8.04,1,1,0,1,1,0,1,0,1,3,0,4,Business Analyst
6.17,0,0,0,1,0,0,1,1,1,5,0,1,Frontend Developer
7.8,1,0,1,1,0,1,0,1,1,2,0,6,Cloud Engineer
6.97,0,0,0,1,1,0,0,1,1,4,0,1,Web Developer
8.26,1,0,0,0,1,1,1,0,1,3,1,3,Data Scientist
7.89,1,0,1,1,1,1,0,0,1,3,1,4,Machine Learning Engineer
7.64,1,0,0,1,0,0,1,0,0,3,1,0,Business Analyst
7.42,0,0,0,1,0,0,1,0,1,6,0,2,Business Analyst
7.67,0,1,1,0,0,0,1,0,0,2,1,1,Backend Developer
8.38,1,0,0,1,1,0,1,0,1,1,0,6,Data Scientist
9.34,1,0,1,1,1,0,1,0,1,6,0,2,Machine Learning Engineer
7.08,1,0,1,1,0,0,0,0,1,8,1,2,Backend Developer
6.54,0,1,0,0,0,0,0,1,1,3,1,1,Web Developer
7.22,1,0,1,1,1,0,0,1,0,5,0,3,Web Developer
8.18,1,0,0,1,1,1,0,0,0,3,1,4,AI Engineer
6.98,1,0,0,1,1,0,1,1,1,5,1,0,Data Analyst
8.68,1,1,1,0,1,0,0,1,0,4,1,0,Software Developer
7.99,1,0,1,1,1,1,0,0,1,4,1,4,Machine Learning Engineer
6.54,1,0,0,1,0,0,1,0,0,3,1,1,Data Analyst
7.85,0,0,0,1,0,0,1,0,1,4,0,0,Backend Developer
8.69,1,1,1,0,1,0,0,1,1,2,0,2,Software Developer
9.32,1,0,0,1,1,1,1,0,0,3,1,1,Machine Learning Engineer
6.35,0,1,0,1,0,0,0,1,1,3,1,1,Web Developer
7.59,1,0,0,1,1,1,0,0,0,4,1,2,Machine Learning Engineer
7.44,1,1,1,0,1,0,0,0,1,1,0,1,Software Developer
7.47,1,0,1,1,1,0,0,0,1,2,1,3,Cloud Engineer
7.94,1,1,1,1,0,0,0,1,0,3,0,2,Software Developer
8.03,0,0,0,1,1,0,1,0,1,5,0,3,Business Analyst
6.75,1,1,0,1,1,1,1,0,0,5,0,4,Machine Learning Engineer
8.69,1,1,1,1,0,0,0,1,1,4,0,1,Backend Developer
7.95,0,0,0,0,1,0,1,1,0,5,0,4,Business Analyst
9.32,1,1,1,0,1,1,1,1,0,7,1,1,AI Engineer
7.98,1,1,1,1,0,0,0,0,0,1,1,5,Software Developer
7.77,1,1,0,1,0,0,1,0,1,4,1,3,Cloud Engineer
7.54,1,0,0,1,1,1,0,0,1,3,1,4,Machine Learning Engineer
7.72,1,0,1,1,0,0,1,0,0,3,1,4,Business Analyst
6.65,0,0,0,0,0,0,1,1,0,6,0,2,Frontend Developer
9.11,1,0,0,0,1,1,1,0,1,1,1,1,AI Engineer
7.35,0,1,0,1,0,0,0,1,0,0,1,1,Web Developer
7.37,0,1,0,0,0,0,1,1,0,2,0,1,Frontend Developer
8.07,1,0,1,0,0,0,1,1,0,3,1,2,Frontend Developer
7.23,1,0,0,1,0,0,1,0,1,4,0,2,Data Scientist
8.6,0,0,1,1,0,0,0,1,0,6,1,3,Software Developer
8.15,1,1,1,0,1,0,0,1,1,5,0,4,Cloud Engineer
8.18,1,1,1,0,1,0,0,1,0,1,1,3,Software Developer
6.59,1,1,1,1,1,0,0,1,1,3,0,3,Software Developer
8.43,0,0,0,0,0,0,1,1,0,4,1,2,Frontend Developer
8.08,1,1,1,1,0,0,0,1,1,4,1,3,Backend Developer
7.4,1,0,1,0,0,0,1,1,1,4,1,1,Business Analyst
7.78,1,0,0,0,0,0,1,0,1,3,1,2,Business Analyst
6.18,1,0,1,0,0,0,1,1,0,1,1,2,Frontend Developer
7.68,1,0,0,1,0,1,1,0,1,7,1,6,Data Scientist
8.42,1,0,1,0,1,1,0,0,1,7,1,4,Machine Learning Engineer
8.12,1,1,1,0,0,0,1,1,0,6,1,0,Software Developer
6.72,1,0,0,0,0,0,0,1,0,3,0,2,Web Developer
7.25,1,0,1,0,0,0,0,1,1,3,0,0,Frontend Developer
9.7,1,0,1,1,1,1,1,0,1,8,1,6,AI Engineer
9.65,1,0,0,0,0,0,1,0,1,4,1,2,Data Analyst
7.67,0,1,0,1,0,0,1,0,1,1,1,2,Data Analyst
8.55,1,1,1,1,0,0,0,1,0,7,1,1,Software Developer
8.99,1,1,0,1,1,1,1,1,0,6,1,3,Data Scientist
8.69,1,0,0,1,1,1,1,0,1,2,1,2,Data Scientist
7.2,1,0,0,1,1,0,1,0,0,0,1,4,Business Analyst
7.04,0,0,0,1,0,0,0,1,0,2,1,2,Web Developer
8.3,0,1,0,1,0,0,0,1,1,4,1,6,Cloud Engineer
8.35,1,1,0,1,1,0,1,0,0,5,1,5,Data Scientist
6.87,0,1,0,0,0,0,1,1,0,0,0,3,Web Developer
8.29,1,1,0,1,1,0,0,0,0,5,0,1,Backend Developer
