previous_marks,attendance,study_hours,assignment_completion,internal_marks,failed_subjects,cgpa,risk_level
90.03,75.67,8.07,100.0,28.02,0,8.84,Low Risk
74.59,81.59,4.15,69.22,24.64,0,6.64,Medium Risk
51.62,44.01,2.35,41.85,19.16,2,4.05,High Risk
70.18,78.73,3.17,58.05,18.13,1,6.6,Medium Risk
47.01,45.78,1.88,56.75,10.86,2,5.46,High Risk
39.07,70.23,4.65,69.98,19.42,0,7.25,Medium Risk
80.9,94.02,7.43,92.23,20.24,0,8.17,Low Risk
60.47,68.34,5.42,64.12,21.75,0,6.86,Medium Risk
86.26,78.38,7.24,95.3,25.6,0,8.4,Low Risk
44.37,53.29,2.79,52.37,11.86,2,4.91,High Risk
69.89,65.32,4.43,65.09,19.66,0,5.83,Medium Risk
40.71,58.29,0.63,47.35,14.12,1,5.46,High Risk
40.23,57.4,0.97,56.06,16.61,1,5.88,High Risk
70.75,84.68,4.84,68.5,15.43,0,6.23,Medium Risk
74.08,71.24,3.19,68.17,22.37,0,7.08,Medium Risk
69.9,94.51,9.22,80.13,25.32,0,7.85,Low Risk
74.24,66.75,4.49,70.03,19.53,0,6.87,Medium Risk
69.02,67.64,6.02,56.56,18.49,0,6.14,Medium Risk
90.27,98.09,7.97,100.0,29.33,0,8.82,Low Risk
68.4,72.02,2.8,59.61,15.15,1,7.68,Medium Risk
68.09,72.08,6.24,68.68,17.03,0,7.99,Medium Risk
76.95,92.55,9.61,83.07,24.34,0,10.0,Low Risk
89.95,83.47,7.23,86.16,29.96,0,8.28,Low Risk
56.09,54.19,1.88,50.32,12.43,3,4.89,High Risk
94.81,88.16,5.23,80.02,19.47,0,9.01,Low Risk
75.7,91.74,8.62,93.01,30.0,0,7.91,Low Risk
64.41,51.9,2.94,47.26,13.03,0,6.14,Medium Risk
84.23,81.08,8.95,83.25,26.24,0,9.01,Low Risk
78.92,85.29,7.81,95.24,23.27,0,8.11,Low Risk
83.79,70.97,5.62,61.7,19.3,0,6.7,Medium Risk
67.65,70.12,2.39,62.3,16.38,0,6.93,Medium Risk
48.33,54.79,0.95,55.13,13.37,0,5.89,High Risk
77.92,73.51,6.43,77.48,19.36,1,6.76,Medium Risk
51.96,55.08,0.5,46.78,13.34,3,5.4,High Risk
92.55,89.92,7.64,86.94,29.04,0,8.48,Low Risk
82.36,80.24,11.0,94.63,28.7,0,8.4,Low Risk
40.41,38.0,2.18,46.13,8.77,3,4.32,High Risk
60.66,74.36,3.15,69.33,20.03,1,6.3,Medium Risk
52.41,61.29,4.85,59.72,14.32,1,5.61,High Risk
85.45,96.21,5.55,95.6,24.05,0,8.9,Low Risk
85.89,91.92,9.55,81.6,26.2,0,9.01,Low Risk
36.27,57.71,4.83,51.76,7.33,1,5.56,High Risk
45.71,46.15,2.24,41.11,20.32,3,5.35,High Risk
80.31,91.6,8.63,79.45,29.16,1,9.01,Medium Risk
65.37,65.86,1.66,70.68,20.41,2,6.61,High Risk
73.78,63.51,2.44,53.63,24.61,0,5.83,Medium Risk
54.76,51.32,2.8,37.24,11.24,3,5.93,High Risk
65.59,72.98,5.65,78.7,20.48,0,6.44,Medium Risk
58.3,61.96,1.04,57.18,19.54,0,7.06,Medium Risk
100.0,88.07,6.94,99.42,28.45,0,7.51,Low Risk
57.34,71.88,5.58,69.54,16.57,2,6.79,High Risk
87.88,93.97,6.23,86.21,29.09,0,8.54,Low Risk
100.0,81.97,7.79,90.67,28.89,0,8.79,Low Risk
68.9,79.28,6.61,100.0,26.81,0,8.05,Low Risk
76.58,96.13,7.86,100.0,27.5,0,8.54,Low Risk
78.59,92.23,5.14,84.86,26.45,0,7.51,Low Risk
82.17,88.15,8.43,79.32,24.77,0,8.5,Low Risk
88.88,80.35,4.38,98.09,22.76,0,9.17,Low Risk
80.71,83.06,4.7,77.76,19.93,1,7.46,Medium Risk
69.38,71.6,2.19,63.32,18.65,0,6.96,Medium Risk
35.0,49.56,4.41,59.35,9.95,1,4.62,High Risk
76.88,98.07,5.22,95.92,27.86,0,8.36,Low Risk
80.46,92.89,6.78,94.67,27.39,0,9.34,Low Risk
66.3,64.44,6.44,58.18,20.18,0,7.7,Medium Risk
66.15,80.99,4.07,71.42,19.93,1,7.59,Medium Risk
97.31,89.94,8.59,84.22,30.0,0,8.37,Low Risk
51.41,54.08,0.53,64.22,11.99,1,6.33,High Risk
50.87,44.01,0.5,28.34,15.46,1,5.27,High Risk
75.74,71.69,1.3,70.21,20.87,1,6.51,Medium Risk
48.45,59.2,4.33,66.02,19.02,0,7.66,Medium Risk
83.63,90.22,6.25,100.0,27.3,0,9.22,Low Risk
94.68,92.84,8.44,100.0,30.0,0,7.78,Low Risk
58.53,66.05,5.28,65.34,20.53,0,6.76,Medium Risk
80.72,100.0,8.57,100.0,24.15,0,9.04,Low Risk
76.74,92.22,7.44,98.86,28.48,0,9.89,Low Risk
63.49,84.03,4.07,50.06,18.41,0,6.49,Medium Risk
92.52,88.06,4.29,79.39,26.04,0,8.92,Low Risk
40.31,60.38,2.65,38.83,8.53,1,5.63,High Risk
55.62,58.18,2.94,53.69,16.2,6,5.25,High Risk
83.86,100.0,8.26,92.76,23.86,0,9.07,Low Risk
81.29,89.87,8.06,90.89,27.37,0,8.75,Low Risk
78.99,87.04,7.72,100.0,19.26,0,7.65,Low Risk
63.85,73.47,5.82,69.62,18.16,1,7.4,Medium Risk
41.9,48.34,3.57,30.13,10.71,0,4.94,High Risk
67.53,41.85,1.3,51.72,12.89,1,5.27,High Risk
49.4,45.7,0.92,37.34,14.5,0,6.13,High Risk
66.18,71.43,2.76,66.49,22.99,0,4.73,Medium Risk
66.99,70.76,3.61,66.14,13.89,0,6.8,Medium Risk
87.01,93.73,6.15,84.17,29.38,0,7.57,Low Risk
53.0,39.09,0.5,48.65,11.5,4,4.16,High Risk
82.53,83.28,5.85,68.92,25.71,0,7.31,Low Risk
70.52,80.73,3.9,75.07,17.7,0,6.83,Medium Risk
81.66,82.9,6.82,100.0,24.24,0,8.49,Low Risk
77.56,99.74,9.12,72.47,22.42,1,9.01,Medium Risk
58.99,61.62,6.48,71.18,21.65,0,7.69,Medium Risk
65.1,94.33,5.99,97.57,30.0,0,8.76,Low Risk
100.0,82.22,6.5,100.0,30.0,0,8.4,Low Risk
61.43,63.47,0.5,52.79,16.21,6,4.42,High Risk
75.44,67.13,1.83,60.65,22.88,0,7.14,Medium Risk
79.28,94.24,8.55,92.23,21.37,0,7.39,Low Risk
68.74,68.09,3.38,65.46,14.44,0,6.96,Medium Risk
85.54,82.67,7.28,84.09,21.76,0,9.43,Low Risk
71.8,80.51,6.46,91.59,26.73,0,9.61,Low Risk
76.86,89.12,8.27,92.31,20.09,0,7.77,Low Risk
45.13,55.4,3.05,43.43,19.47,3,5.02,High Risk
83.2,90.64,5.11,85.16,25.62,0,9.93,Low Risk
43.91,57.32,4.14,45.64,16.24,0,4.88,Medium Risk
91.41,85.79,7.84,100.0,21.57,0,9.32,Low Risk
90.85,80.75,8.1,95.55,24.72,0,8.55,Low Risk
83.96,77.37,6.51,76.79,28.96,0,8.86,Low Risk
56.36,72.59,2.43,66.19,17.53,1,6.02,High Risk
50.67,60.36,1.43,50.0,15.58,1,5.48,High Risk
61.17,67.48,4.97,84.6,17.44,1,7.81,Medium Risk
49.82,58.51,1.88,56.66,14.21,1,4.73,High Risk
66.75,76.07,3.95,69.89,16.07,1,6.52,Medium Risk
87.96,77.56,8.59,100.0,29.23,0,8.52,Low Risk
48.29,43.37,0.92,40.74,12.63,3,5.11,High Risk
62.24,61.63,4.22,70.93,13.81,1,6.81,High Risk
81.48,100.0,6.09,94.21,23.59,0,8.92,Low Risk
46.52,65.15,1.09,47.8,14.41,2,5.32,High Risk
49.15,54.92,0.5,52.08,10.64,6,6.04,High Risk
57.4,87.48,5.3,88.18,29.11,0,9.52,Low Risk
70.33,64.78,7.62,65.0,17.6,0,6.38,Medium Risk
94.2,90.49,7.8,84.54,21.19,0,8.74,Low Risk
62.65,68.6,3.53,74.79,13.66,0,6.46,Medium Risk
84.75,96.49,5.95,84.52,30.0,0,9.11,Low Risk
48.81,49.6,0.87,52.58,11.38,3,6.13,High Risk
62.69,74.12,5.21,77.44,18.23,0,7.13,Medium Risk
75.23,80.12,7.4,95.88,28.22,0,7.75,Low Risk
45.54,61.26,0.5,55.7,17.31,3,4.33,High Risk
80.79,79.19,4.77,68.31,22.1,0,7.33,Medium Risk
94.34,87.23,6.38,100.0,26.63,1,8.39,Medium Risk
73.28,80.9,8.15,85.87,28.9,0,8.14,Low Risk
43.98,60.71,2.25,24.69,14.91,2,6.25,High Risk
35.0,51.6,0.5,52.68,15.22,1,4.41,High Risk
62.82,82.76,7.22,55.28,18.19,0,6.35,Medium Risk
70.48,66.87,3.25,80.77,24.36,0,7.78,Medium Risk
92.56,88.02,9.41,91.0,24.84,1,8.35,Medium Risk
94.13,80.81,6.2,100.0,27.28,0,8.6,Low Risk
62.63,61.68,5.26,68.54,18.34,2,6.72,High Risk
85.6,82.33,9.22,82.86,26.19,0,8.06,Low Risk
77.4,86.97,7.02,95.72,24.31,0,9.09,Low Risk
72.27,82.73,6.75,100.0,27.55,0,7.9,Low Risk
52.15,75.44,4.79,79.66,16.44,0,7.46,Medium Risk
66.21,75.41,6.72,89.29,24.11,0,7.67,Low Risk
82.11,86.21,6.89,87.19,26.88,0,9.16,Low Risk
70.51,73.97,5.11,82.77,13.15,2,7.58,High Risk
39.03,63.97,2.35,37.08,7.85,3,5.16,High Risk
83.24,95.38,8.13,95.44,23.54,0,8.96,Low Risk
83.84,91.08,8.33,94.02,30.0,0,7.54,Low Risk
83.4,94.17,6.21,87.48,22.98,0,8.89,Low Risk
73.67,90.81,7.94,83.82,23.85,0,7.96,Low Risk
86.39,100.0,6.37,88.16,29.45,0,8.39,Low Risk
66.91,65.24,2.29,70.13,20.16,1,7.93,Medium Risk
58.92,65.04,3.13,71.17,15.81,2,7.97,High Risk
65.53,80.51,1.91,86.05,25.82,1,6.58,Medium Risk
98.93,83.0,8.21,81.28,27.97,0,8.68,Low Risk
53.46,53.32,2.17,45.18,12.6,3,5.45,High Risk
91.85,97.34,8.0,91.87,28.39,0,8.21,Low Risk
76.85,84.28,6.47,87.18,28.57,0,9.19,Low Risk
91.35,87.31,7.06,94.41,26.97,0,8.55,Low Risk
96.66,82.32,7.11,97.96,23.21,0,7.98,Low Risk
42.93,46.03,1.57,27.99,10.64,1,4.99,High Risk
59.51,83.03,3.43,81.46,16.62,1,6.18,Medium Risk
86.53,87.01,7.78,77.55,24.68,0,7.98,Low Risk
87.21,82.09,8.2,96.68,23.07,0,8.57,Low Risk
56.1,80.03,2.45,81.47,15.59,0,7.71,Medium Risk
67.52,68.78,3.18,73.56,19.42,1,6.58,Medium Risk
74.64,86.43,4.8,96.87,28.28,0,7.68,Low Risk
73.8,88.87,8.07,100.0,30.0,0,8.55,Low Risk
67.24,68.5,5.68,75.82,25.93,0,5.79,Medium Risk
50.27,45.99,2.13,47.92,13.02,1,4.02,High Risk
56.67,46.97,0.92,37.16,10.77,2,6.49,High Risk
99.28,96.76,8.71,90.05,28.58,0,9.01,Low Risk
89.69,85.38,8.17,88.75,29.48,0,8.36,Low Risk
42.15,55.95,0.5,45.21,9.68,4,4.0,High Risk
85.16,95.32,7.54,88.84,30.0,0,8.65,Low Risk
59.22,46.92,1.48,51.45,14.28,0,4.0,High Risk
83.34,74.93,7.32,100.0,27.89,1,8.07,Medium Risk
52.99,46.89,4.46,43.44,9.61,4,5.45,High Risk
59.35,67.21,3.81,56.61,19.26,0,6.15,Medium Risk
50.13,61.86,2.96,52.31,18.97,0,4.51,Medium Risk
71.82,78.53,9.17,86.34,30.0,0,7.88,Low Risk
72.87,70.2,6.79,74.37,23.83,0,6.82,Low Risk
89.91,97.12,9.42,88.0,25.57,0,7.86,Low Risk
69.26,64.24,3.34,62.4,18.48,0,6.58,Medium Risk
88.69,97.12,6.88,94.31,25.28,0,8.61,Low Risk
97.94,88.6,10.58,76.4,26.66,0,9.43,Low Risk
66.58,70.86,4.5,83.29,19.19,0,7.03,Medium Risk
82.23,92.26,6.11,92.65,26.56,0,8.72,Low Risk
65.71,62.41,5.66,88.49,20.75,0,6.04,Medium Risk
70.11,74.7,5.18,74.09,15.31,3,6.01,High Risk
94.05,84.65,6.16,90.32,24.68,0,8.63,Low Risk
82.81,88.86,8.26,92.51,22.64,0,7.85,Low Risk
44.21,58.97,0.5,34.11,15.09,1,4.64,High Risk
75.55,100.0,6.97,80.91,28.86,0,8.4,Low Risk
47.46,81.64,2.07,76.13,19.04,0,6.75,Medium Risk
59.34,75.15,3.39,63.52,15.62,0,6.05,Medium Risk
81.04,91.38,10.66,89.54,27.1,0,8.26,Low Risk
76.58,71.29,3.21,55.84,15.84,1,6.35,High Risk
74.77,81.38,9.21,95.05,23.19,0,9.51,Low Risk
54.9,78.01,1.33,64.89,24.4,1,6.99,Medium Risk
50.65,79.2,5.01,67.06,15.49,0,6.12,Medium Risk
78.76,99.35,6.1,90.95,30.0,0,8.68,Low Risk
84.58,92.14,8.21,100.0,26.6,0,6.76,Low Risk
54.03,56.96,3.08,34.1,16.0,1,4.58,High Risk
55.37,63.85,4.54,75.66,18.1,2,7.51,High Risk
78.79,79.52,7.57,84.26,24.85,0,8.46,Low Risk
55.75,56.61,5.18,47.13,11.72,6,5.27,High Risk
77.82,93.31,7.14,87.63,26.25,0,8.31,Low Risk
80.95,81.44,4.52,55.85,18.08,0,7.33,Medium Risk
64.65,78.15,5.83,71.58,13.21,0,6.05,Medium Risk
59.46,87.63,5.74,77.59,19.95,0,6.35,Low Risk
90.55,79.96,9.81,81.9,23.25,0,8.99,Low Risk
86.57,90.3,8.13,100.0,27.36,0,8.46,Low Risk
77.58,84.82,9.45,83.17,22.02,0,8.64,Low Risk
64.34,84.74,5.17,64.74,26.36,1,7.23,Medium Risk
66.4,81.26,2.66,86.63,21.97,1,6.64,Medium Risk
35.0,52.2,1.7,46.21,5.15,4,6.26,High Risk
87.49,87.31,3.7,98.14,26.38,0,8.62,Low Risk
47.84,44.35,0.5,50.38,12.89,4,4.87,High Risk
54.6,52.96,2.88,50.14,17.16,1,5.69,High Risk
41.2,49.82,1.58,45.61,14.29,1,4.37,High Risk
92.78,84.53,5.15,64.93,27.71,0,7.07,Low Risk
73.05,87.52,10.48,100.0,26.32,0,7.35,Low Risk
74.94,74.28,3.81,79.49,21.83,1,6.45,Medium Risk
92.19,96.46,8.39,99.01,24.35,0,9.74,Low Risk
56.94,64.4,2.75,54.78,7.85,1,5.64,High Risk
60.53,72.04,5.69,74.75,16.69,0,7.28,Medium Risk
82.4,98.9,4.85,99.75,20.59,0,8.75,Low Risk
69.7,79.02,2.18,72.33,19.01,2,5.7,High Risk
53.14,71.2,5.93,69.08,19.11,0,6.69,Medium Risk
73.05,76.81,8.3,100.0,30.0,0,8.31,Low Risk
78.44,75.62,6.89,87.28,26.46,0,8.48,Low Risk
37.02,36.55,0.5,35.65,15.05,4,4.94,High Risk
84.22,94.59,7.69,88.75,25.28,0,7.35,Low Risk
97.07,80.0,5.78,94.72,23.74,1,8.88,Medium Risk
51.68,66.72,1.2,68.65,17.01,2,7.92,High Risk
38.0,73.25,3.53,76.88,17.83,0,6.58,Medium Risk
71.58,68.74,4.26,60.34,20.37,1,6.01,Medium Risk
50.14,58.99,1.57,48.52,14.26,2,4.2,High Risk
79.99,80.93,9.64,94.96,28.52,0,8.63,Low Risk
82.13,79.2,8.2,100.0,25.77,0,8.01,Low Risk
88.38,83.86,7.2,90.04,29.3,0,9.27,Low Risk
50.48,48.94,2.82,37.26,12.78,0,5.78,High Risk
49.48,51.43,2.95,36.86,10.55,2,5.15,High Risk
91.01,94.69,9.71,86.56,25.31,0,7.97,Low Risk
77.92,82.22,10.4,95.99,20.89,0,8.42,Low Risk
70.64,93.26,8.32,86.04,27.71,0,8.56,Low Risk
59.31,49.12,0.71,35.03,7.35,2,5.98,High Risk
76.67,77.75,4.32,59.37,11.52,1,6.56,High Risk
81.98,94.4,5.69,100.0,23.31,0,8.7,Low Risk
51.16,63.1,0.5,41.25,14.36,1,4.66,High Risk
63.62,70.63,2.79,72.16,16.58,0,7.2,Medium Risk
64.29,74.74,6.62,61.54,13.58,3,5.77,High Risk
60.6,72.96,4.96,62.67,23.5,0,7.58,Medium Risk
72.98,95.38,6.09,96.64,27.54,0,9.15,Low Risk
54.72,74.6,2.25,51.56,17.85,0,6.05,Medium Risk
53.88,63.59,4.13,45.48,14.88,1,6.13,High Risk
74.79,59.85,3.15,67.57,16.81,1,6.2,High Risk
68.81,72.57,3.47,69.14,15.67,1,5.86,High Risk
74.83,67.61,4.89,72.26,21.43,0,6.6,Medium Risk
71.03,83.63,8.15,97.53,30.0,0,9.22,Low Risk
64.6,69.7,6.41,71.6,16.62,1,6.79,Medium Risk
78.32,73.37,3.93,75.62,21.41,1,7.37,Medium Risk
41.48,51.94,3.22,42.46,13.32,2,5.87,High Risk
63.14,63.13,3.93,65.65,21.06,0,7.05,Medium Risk
77.37,92.41,6.66,98.73,27.83,1,8.99,Medium Risk
44.78,36.13,0.5,37.52,11.53,0,5.96,High Risk
74.75,87.86,5.2,100.0,20.53,0,8.23,Low Risk
87.26,88.98,7.31,66.51,26.05,0,8.24,Low Risk
52.03,80.39,3.15,74.84,20.66,0,7.47,Medium Risk
85.31,97.1,5.71,90.01,23.77,0,8.97,Low Risk
52.47,55.82,3.75,47.68,14.17,1,4.62,High Risk
80.13,86.88,6.05,90.42,27.47,1,7.57,Medium Risk
36.56,53.81,0.5,43.17,12.52,4,5.49,High Risk
77.7,89.59,5.41,100.0,26.54,0,8.78,Low Risk
80.39,68.17,8.33,100.0,24.61,0,7.59,Low Risk
67.38,88.2,7.02,100.0,27.08,0,7.26,Low Risk
73.97,77.34,3.91,65.29,16.77,0,6.14,Medium Risk
68.17,90.46,7.57,100.0,23.16,0,7.68,Low Risk
80.17,95.68,6.21,98.24,24.82,0,7.21,Low Risk
50.36,58.69,1.71,49.84,10.14,1,5.64,High Risk
87.36,91.38,8.41,100.0,22.61,0,9.05,Low Risk
79.78,89.58,8.04,96.53,27.75,0,8.05,Low Risk
77.61,69.9,4.13,63.46,16.37,0,6.34,Medium Risk
46.74,59.87,1.91,49.37,19.32,2,4.99,High Risk
67.03,65.27,5.25,73.53,15.9,3,6.27,High Risk
80.19,82.27,8.81,94.36,26.58,0,7.69,Low Risk
35.0,61.69,1.2,52.36,12.12,1,4.79,High Risk
83.16,82.78,8.42,91.77,25.35,0,8.26,Low Risk
90.86,71.79,6.26,73.83,26.44,0,7.78,Low Risk
49.31,54.28,2.19,43.06,16.41,1,4.41,High Risk
85.58,89.3,6.28,100.0,29.74,0,8.45,Low Risk
49.0,48.57,0.83,42.17,12.86,1,5.98,High Risk
69.49,71.46,3.5,76.88,20.18,1,6.32,Medium Risk
76.7,72.23,3.76,79.65,23.29,1,6.55,Medium Risk
74.05,100.0,6.46,85.53,28.68,0,7.66,Low Risk
77.17,83.5,7.63,100.0,30.0,0,10.0,Low Risk
69.45,69.31,7.28,75.45,20.42,1,6.29,Medium Risk
54.35,53.69,1.46,50.57,16.37,1,5.38,High Risk
96.38,77.39,10.19,86.48,24.84,0,8.62,Low Risk
78.59,86.69,5.86,86.71,30.0,0,9.13,Low Risk
51.16,49.8,2.54,37.41,9.5,2,4.59,High Risk
60.94,59.8,0.5,30.79,11.79,2,4.53,High Risk
72.99,70.97,5.78,71.96,26.26,0,6.36,Medium Risk
58.9,71.77,3.46,65.74,16.87,1,6.02,High Risk
88.02,86.96,10.19,98.35,25.27,0,7.68,Low Risk
84.88,90.96,9.08,86.84,21.0,0,7.93,Low Risk
87.65,77.66,7.12,86.34,26.59,0,9.16,Low Risk
80.89,85.88,7.76,93.45,26.01,0,8.13,Low Risk
78.67,89.23,7.8,86.53,24.79,0,8.59,Low Risk
84.1,94.57,11.8,76.98,29.18,0,8.61,Low Risk
36.78,40.32,2.01,54.98,12.79,0,5.75,High Risk
81.5,90.49,7.5,80.75,27.81,0,9.39,Low Risk
52.84,67.58,0.89,86.58,19.33,0,7.42,Medium Risk
66.79,81.76,6.42,90.1,23.04,0,8.34,Low Risk
64.2,73.58,4.52,65.86,17.98,2,6.37,High Risk
70.17,51.23,0.5,50.8,20.28,2,4.92,High Risk
88.12,88.29,9.31,99.66,24.14,0,8.44,Low Risk
51.64,41.22,3.16,44.3,20.12,1,5.3,High Risk
55.51,74.34,3.71,75.95,20.53,1,7.34,Medium Risk
75.48,66.72,2.44,69.82,20.92,0,6.82,Medium Risk
92.29,92.92,8.73,92.0,29.25,0,9.54,Low Risk
35.24,54.01,2.94,59.69,10.22,1,5.9,High Risk
49.04,52.55,1.64,24.18,13.06,0,6.08,High Risk
59.34,70.51,5.02,67.39,18.76,0,6.59,Medium Risk
49.69,71.22,2.75,78.07,10.78,1,7.2,Medium Risk
88.61,84.52,5.24,93.66,27.36,0,9.02,Low Risk
93.6,84.41,7.17,78.02,25.1,0,8.53,Low Risk
44.33,59.15,3.82,54.85,12.75,2,5.31,High Risk
67.59,63.95,2.65,62.3,18.18,0,6.9,Medium Risk
75.55,91.54,7.11,94.77,30.0,0,9.58,Low Risk
86.57,97.18,7.79,80.57,26.86,0,8.32,Low Risk
58.8,68.8,5.88,71.56,16.45,0,7.4,Medium Risk
84.36,74.98,8.34,100.0,24.55,0,8.98,Low Risk
58.86,69.34,5.7,63.09,16.72,0,6.62,Medium Risk
47.74,62.83,2.39,41.04,13.44,5,5.15,High Risk
56.84,55.41,3.36,45.93,12.2,1,4.6,High Risk
92.39,82.71,9.98,87.65,24.16,0,8.38,Low Risk
100.0,85.65,8.44,85.98,25.33,0,8.55,Low Risk
87.22,85.02,6.42,99.61,29.45,0,8.99,Low Risk
45.97,70.42,4.49,73.29,18.88,0,5.94,Medium Risk
68.95,77.56,6.23,51.19,17.04,2,4.92,High Risk
43.03,63.03,4.26,44.73,11.04,2,4.78,High Risk
87.62,73.53,5.64,83.95,23.99,0,8.37,Low Risk
84.59,88.51,7.27,100.0,25.75,0,8.46,Low Risk
65.28,60.83,4.02,55.78,17.23,0,6.61,Medium Risk
79.63,91.38,6.73,94.68,28.28,0,8.34,Low Risk
90.86,85.1,7.73,92.85,22.86,0,8.61,Low Risk
79.57,88.9,8.07,100.0,30.0,0,6.64,Low Risk
99.51,79.5,5.4,100.0,24.9,0,8.47,Low Risk
64.01,56.06,3.64,74.43,15.78,0,6.81,Medium Risk
57.78,49.38,2.09,28.08,7.61,3,4.4,High Risk
88.39,91.83,7.12,90.87,26.98,0,8.79,Low Risk
62.34,68.98,4.68,84.59,23.9,0,6.86,Low Risk
56.45,79.34,4.72,66.54,16.71,0,6.54,Medium Risk
88.14,94.7,7.17,91.8,23.93,0,8.01,Low Risk
84.11,95.33,5.61,96.42,28.97,0,7.4,Low Risk
52.99,61.13,0.5,41.14,11.08,2,5.1,High Risk
52.95,67.67,2.69,59.36,21.99,1,6.14,High Risk
92.44,94.37,8.48,84.13,25.99,0,8.63,Low Risk
58.55,74.76,3.51,68.41,14.4,0,6.98,Medium Risk
81.95,88.21,3.9,95.82,26.43,0,7.92,Low Risk
86.49,86.51,9.71,99.72,25.52,0,8.07,Low Risk
83.88,89.28,8.37,93.08,23.08,0,7.61,Low Risk
55.8,56.17,0.5,36.35,13.41,4,5.0,High Risk
74.83,82.37,8.2,100.0,29.73,0,8.73,Low Risk
78.59,84.59,7.55,82.21,22.74,0,8.71,Low Risk
62.15,73.33,4.75,68.55,16.92,1,6.41,Medium Risk
82.69,83.97,9.93,97.07,22.03,0,7.95,Low Risk
50.96,70.96,5.72,76.72,19.69,0,7.14,Medium Risk
49.08,55.19,1.67,48.32,13.03,0,4.58,High Risk
68.29,67.01,2.74,72.2,20.7,1,7.36,Medium Risk
71.0,71.71,1.18,73.01,18.13,0,6.8,Medium Risk
58.12,69.49,2.86,51.01,23.02,1,6.1,High Risk
76.75,78.31,4.77,68.76,19.74,0,6.02,Medium Risk
89.56,89.37,5.31,81.45,29.44,0,8.8,Low Risk
63.89,72.75,6.1,64.64,20.14,0,7.04,Medium Risk
56.08,66.54,5.97,59.58,19.45,0,7.3,Medium Risk
78.1,90.75,7.77,96.14,26.58,0,8.44,Low Risk
